rowname,coef,exp(coef),se(coef),z,Pr(>|z|),var
age,0.007221595200441128,1.0072477338019765,0.010440247770244307,0.6917072620654997,0.48912118551752654,invSimp
sexFemale,-0.03976126110176646,0.961018844347343,0.27298032779464926,-0.14565614094975027,0.8841928464635862,invSimp
meld_na,0.036499177006681996,1.0371734504305792,0.014331159377194714,2.546840492525917,0.010870310726924454,invSimp
metadata_binaryLow,-0.06590445254390062,0.9362203134875315,0.2984590204466228,-0.22081575033409703,0.8252358992860793,invSimp
